# term1 term2 pos simScore psdScore
electricity engines NOUN 0.13999124146919015 0.701855 0.000220
episodes phase NOUN 0.17503671145513888 0.708621 0.000243
enemies ones NOUN 0.20765978582882055 0.690588 0.000368
extension negotiations NOUN 0.18308069113651596 0.727946 0.000117
elements instance NOUN 0.2893065226529473 0.911231 0.000033
experience officers NOUN 0.13579968103795853 0.671208 0.000129
entrance junction NOUN 0.20204482733956072 0.758158 0.000708
exchange organizations NOUN 0.09165227371123677 0.723492 0.000611
equipment operations NOUN 0.3592387930430725 0.711596 0.000513
factor items NOUN 0.1387396704812885 0.731544 0.000032
experience performance NOUN 0.21885107689302935 0.660723 0.000328
elements industry NOUN 0.2083583053710564 0.742640 0.000261
element male NOUN 0.07189218982726521 0.765678 0.000050
episodes issue NOUN 0.17233905788913828 0.712768 0.000300
existence nation NOUN 0.20329717012350804 0.763562 0.000403
farm palace NOUN 0.14274337411261223 0.732032 0.000323
examples manner NOUN 0.1319860293211911 0.747643 0.000168
farmers legend NOUN 0.3241208153181311 0.735730 0.000356
emperor invasion NOUN 0.1413201789539111 0.720313 0.000396
fans manufacturers NOUN 0.18934295270893042 0.689120 0.000083
enemy guns NOUN 0.09463109926383746 0.715674 0.000330
examples model NOUN 0.2174283647266199 0.734896 0.000147
election laws NOUN 0.11725187069415596 0.734622 0.000300
exposure patients NOUN 0.21506320424587855 0.703704 0.000220
fashion mile NOUN 0.017358345478110004 0.832616 0.011295
employees jobs NOUN 0.31808817808347334 0.632206 0.000192
engineer industries NOUN 0.1206591170452301 0.691453 0.000079
end lake NOUN 0.17857358466571238 0.860230 0.000369
explanation idea NOUN 0.22987664051954082 0.741201 0.000104
element emperor NOUN 0.08569005522657537 0.775416 0.000219
experience fame NOUN 0.034698894290786673 0.700972 0.000169
end journey NOUN 0.1350976851454141 0.867728 0.000187
equation list NOUN 0.12168969521701724 0.721356 0.000565
fact humans NOUN 0.09239228292519758 0.816470 0.000174
experiments machines NOUN 0.16218403829258085 0.694834 0.000291
extension merger NOUN 0.18624754838934915 0.738169 0.001079
environment foundation NOUN 0.1820988249445958 0.774216 0.000083
episodes houses NOUN 0.183223709044642 0.679455 0.000119
experience order NOUN 0.19189499131395485 0.790915 0.000080
electricity mining NOUN 0.09446708289512554 0.683137 0.000334
facility palace NOUN 0.13439309762604484 0.710653 0.000051
elements grounds NOUN 0.15322000269539976 0.760016 0.000809
enemies heart NOUN 0.09154904223878021 0.724148 0.000499
eye hair NOUN 0.1948362911596842 0.704015 0.000163
failure lack NOUN 0.14886687377860788 0.782961 0.000125
facilities flights NOUN 0.14099762740219085 0.723779 0.000191
existence phenomenon NOUN 0.15111914363058804 0.757491 0.000202
elections kingdom NOUN 0.16360224358319683 0.782217 0.000042
element focus NOUN 0.18806719246811462 0.780283 0.000022
elements persons NOUN 0.2100758344407947 0.723436 0.000162
employees judges NOUN 0.20073696486631465 0.633625 0.000159
faith ideas NOUN 0.2133349982005769 0.690025 0.000346
eye hands NOUN 0.19748492898854603 0.741761 0.000027
emphasis interest NOUN 0.27475053384349796 0.708104 0.000159
favor followers NOUN 0.11934203291910743 0.834068 0.000665
engineer judge NOUN 0.1659320764138995 0.700220 0.000355
fan percentage NOUN 0.12470635895081399 0.766827 0.001509
faith movements NOUN 0.15128609287911146 0.702857 0.000637
entrance industries NOUN 0.29746962345297945 0.827079 0.000050
face note NOUN 0.1665182222959047 0.711436 0.000208
entrance lines NOUN 0.18908814343982686 0.750301 0.000147
